Wall time,Step,Value
1655085752.9782555,0,112.14713287353516
1655085754.5200148,1,2.5175130367279053
1655085756.0056913,2,2.3609583377838135
1655085757.5232034,3,2.3047165870666504
1655085759.0215912,4,2.3087079524993896
1655085760.497508,5,2.302805185317993
1655085761.9814525,6,2.3021929264068604
1655085763.4472818,7,2.3026998043060303
1655085764.9484196,8,2.3027913570404053
1655085766.391031,9,2.3029286861419678
1655085767.8370595,10,2.3030309677124023
1655085769.32223,11,2.302661895751953
1655085770.7466192,12,2.3028814792633057
1655085772.1753623,13,2.3025312423706055
1655085773.6487408,14,2.302769184112549
1655085775.124305,15,2.302586317062378
1655085776.556369,16,2.302518606185913
1655085778.00063,17,2.302584409713745
1655085779.427145,18,2.3028740882873535
1655085780.892731,19,2.3028011322021484
1655085782.3376977,20,2.3031582832336426
1655085783.7998896,21,2.3026041984558105
1655085785.2387154,22,2.310150384902954
1655085786.6679804,23,2.303117513656616
1655085788.148937,24,2.3027689456939697
1655085789.5727146,25,2.302652359008789
1655085790.995944,26,2.302516222000122
1655085792.4432008,27,2.3024137020111084
1655085793.8866599,28,2.3025503158569336
1655085795.374969,29,2.3026068210601807
1655085796.8140836,30,2.302565813064575
1655085798.268662,31,2.3025636672973633
1655085799.7193215,32,2.302581787109375
1655085801.150888,33,2.3025903701782227
1655085802.6302185,34,2.302595376968384
1655085804.1330028,35,2.3025951385498047
1655085805.5800185,36,2.3026010990142822
1655085807.0160153,37,2.3025872707366943
1655085808.4595966,38,2.302583932876587
1655085809.968153,39,2.3025951385498047
1655085811.445206,40,2.302586078643799
1655085812.927614,41,2.302584648132324
1655085814.4077597,42,2.3025810718536377
1655085815.8587391,43,2.302586317062378
1655085817.328261,44,2.3025856018066406
1655085818.8126173,45,2.3025803565979004
1655085820.249082,46,2.3025872707366943
1655085821.6779945,47,2.3025872707366943
1655085823.104368,48,2.302583932876587
1655085824.603316,49,2.302586317062378
1655085826.0900629,50,2.3025848865509033
1655085827.6071072,51,2.3025856018066406
1655085829.080731,52,2.3025848865509033
1655085830.5546875,53,2.3025856018066406
1655085832.0146315,54,2.302584648132324
1655085833.4515843,55,2.3025856018066406
1655085834.912999,56,2.3025848865509033
1655085836.357217,57,2.3025851249694824
1655085837.8478093,58,2.3025848865509033
1655085839.3187168,59,2.3025848865509033
1655085840.799054,60,2.3025848865509033
1655085842.2713358,61,2.302586555480957
1655085843.6968956,62,2.3025848865509033
1655085845.1583316,63,2.3025848865509033
1655085846.583057,64,2.3025848865509033
1655085848.0475218,65,2.3026468753814697
1655085849.4960217,66,2.3026344776153564
1655085850.976073,67,2.302617311477661
1655085852.4392128,68,2.3025848865509033
1655085853.867822,69,2.3025808334350586
1655085855.3133512,70,2.3025996685028076
1655085856.7433567,71,2.302579879760742
1655085858.2059495,72,2.3025858402252197
1655085859.7335129,73,2.3025851249694824
1655085861.1731358,74,2.3025870323181152
1655085862.5953088,75,2.302584648132324
1655085864.03968,76,2.3025848865509033
1655085865.4779425,77,2.3025848865509033
1655085866.9498343,78,2.3025848865509033
1655085868.4244347,79,2.3025848865509033
1655085869.8579118,80,2.3025848865509033
1655085871.4883747,81,2.3025848865509033
1655085873.027877,82,2.302584648132324
1655085874.4905941,83,2.3025853633880615
1655085875.9166245,84,2.3025848865509033
1655085877.3914845,85,2.3025848865509033
1655085878.8269491,86,2.3025848865509033
1655085880.2664654,87,2.3025848865509033
1655085881.7385914,88,2.3025848865509033
1655085883.1656363,89,2.3025848865509033
1655085884.5923507,90,2.3025848865509033
1655085886.038423,91,2.3025848865509033
1655085887.5141134,92,2.3025848865509033
1655085888.9514964,93,2.3025848865509033
1655085890.3967414,94,2.3025848865509033
1655085891.8294458,95,2.3025848865509033
1655085893.286307,96,2.3025848865509033
1655085894.7712615,97,2.3025848865509033
1655085896.2526236,98,2.3025848865509033
1655085897.7078729,99,2.3025848865509033
1655085899.1550052,100,2.3025848865509033
1655085900.6010294,101,2.3025848865509033
1655085902.0901434,102,2.3025848865509033
1655085903.5691571,103,2.3025848865509033
1655085905.0378246,104,2.3025848865509033
1655085906.5129852,105,2.3025848865509033
1655085907.9434187,106,2.3025848865509033
1655085909.4369657,107,2.3025848865509033
1655085910.8938513,108,2.3025848865509033
1655085912.3176835,109,2.3025848865509033
1655085913.7439027,110,2.3025848865509033
1655085915.1718848,111,2.3025848865509033
1655085916.6577818,112,2.3025848865509033
1655085918.0844245,113,2.3025848865509033
1655085919.5637617,114,2.3025848865509033
1655085921.033855,115,2.3025848865509033
1655085922.460006,116,2.3025848865509033
1655085923.925737,117,2.3025848865509033
1655085925.361162,118,2.3025848865509033
1655085926.7866488,119,2.3025848865509033
1655085928.223979,120,2.3025848865509033
1655085929.6527073,121,2.3025848865509033
1655085931.1637685,122,2.3025848865509033
1655085932.650323,123,2.3025848865509033
1655085934.0838764,124,2.315375566482544
1655085935.5466957,125,216.27748107910156
1655085936.9728847,126,7.056795120239258
1655085938.4775422,127,2.958080768585205
1655085939.9078972,128,83.07815551757812
1655085941.360112,129,2.68009090423584
1655085942.8406832,130,2.329777479171753
1655085944.2826753,131,2.3213605880737305
1655085945.744385,132,2.3169233798980713
1655085947.2070906,133,2.319011926651001
1655085948.6359723,134,3.4791855812072754
1655085950.0604222,135,2.348720073699951
1655085951.5959065,136,2.3267297744750977
1655085953.0507472,137,108.72486877441406
1655085954.480935,138,2.5722737312316895
1655085955.9305854,139,2.3458707332611084
1655085957.3933673,140,2.3068809509277344
1655085958.862572,141,2.3165597915649414
1655085960.3213933,142,1316.373046875
1655085961.7483764,143,2.44454288482666
1655085963.2176046,144,2.3096001148223877
1655085964.6438098,145,2.304630994796753
1655085966.1681774,146,2.303269386291504
1655085967.6077797,147,2.306586742401123
1655085969.0459921,148,2.303572654724121
1655085970.516779,149,2.3025577068328857
1655085971.9724407,150,2.3029770851135254
1655085973.4605064,151,2.30301833152771
1655085974.88587,152,2.303042411804199
1655085976.331889,153,2.302774667739868
1655085977.7637029,154,2.303374767303467
1655085979.201691,155,2.302668571472168
1655085980.6688566,156,2.302751302719116
1655085982.1314578,157,2.3032236099243164
1655085983.5633714,158,2.302751064300537
1655085985.048578,159,2.302870512008667
1655085986.4766812,160,2.3025858402252197
1655085987.9714363,161,2.3028531074523926
1655085989.4199376,162,2.3033246994018555
1655085990.8618875,163,2.3030002117156982
1655085992.3113163,164,2.3024911880493164
1655085993.7419662,165,2.3027753829956055
1655085995.1818452,166,2.302556276321411
1655085996.6164634,167,2.302621364593506
1655085998.0720956,168,2.302586078643799
1655085999.4976134,169,2.302764415740967
1655086000.9767535,170,2.3025929927825928
1655086002.430419,171,2.3037822246551514
1655086003.8856866,172,2.3025259971618652
1655086005.3370316,173,2.302675485610962
1655086006.791582,174,2.3029863834381104
1655086008.298436,175,2.3026251792907715
1655086009.7336981,176,2.3034379482269287
1655086011.2059455,177,2.3026225566864014
1655086012.6324403,178,2.302873134613037
1655086014.106348,179,2.302626132965088
1655086015.591976,180,2.3024449348449707
1655086017.0198514,181,2.302658796310425
1655086018.4468553,182,2.3026087284088135
1655086019.9045284,183,2.3028154373168945
1655086021.3668435,184,2.302203893661499
1655086022.8477702,185,2.3027427196502686
1655086024.2756062,186,2.3025426864624023
1655086025.70078,187,2.3026299476623535
1655086027.159514,188,2.302598476409912
1655086028.5847511,189,2.302767276763916
1655086030.0521026,190,2.303460121154785
1655086031.5255852,191,2.3030383586883545
1655086032.981909,192,2.302605628967285
1655086034.4799519,193,2.302649736404419
1655086035.9290257,194,2.30285382270813
1655086037.4065764,195,2.3026773929595947
1655086038.8489285,196,2.3026232719421387
1655086040.2870574,197,2.3023602962493896
1655086041.7151828,198,2.3029253482818604
