Wall time,Step,Value
1655086233.0978978,0,0.1080000028014183
1655086234.5851996,1,0.3452000021934509
1655086236.0028021,2,0.5800999999046326
1655086237.4221632,3,0.7990999817848206
1655086238.8387384,4,0.8981999754905701
1655086240.265132,5,0.9320999979972839
1655086241.6857076,6,0.9488999843597412
1655086243.1033225,7,0.9521999955177307
1655086244.565111,8,0.9666000008583069
1655086245.98255,9,0.9725000262260437
1655086247.3974893,10,0.9764000177383423
1655086248.8152664,11,0.9818000197410583
1655086250.2310061,12,0.9850000143051147
1655086251.6725402,13,0.9872999787330627
1655086253.1037147,14,0.9869999885559082
1655086254.5506167,15,0.9868999719619751
1655086255.9915683,16,0.9815000295639038
1655086257.460367,17,0.982699990272522
1655086258.9130166,18,0.9866999983787537
1655086260.3369691,19,0.9919999837875366
1655086261.7548168,20,0.9940999746322632
1655086263.1973526,21,0.9937999844551086
1655086264.65416,22,0.9927999973297119
1655086266.0667672,23,0.9921000003814697
1655086267.4812624,24,0.9926000237464905
1655086268.8994794,25,0.9925000071525574
1655086270.3442326,26,0.9958999752998352
1655086271.8286533,27,0.996399998664856
1655086273.2452252,28,0.9926999807357788
1655086274.6597943,29,0.9939000010490417
1655086276.0997465,30,0.9923999905586243
1655086277.5193255,31,0.9934999942779541
1655086278.937729,32,0.9932000041007996
1655086280.403989,33,0.9945999979972839
1655086281.8210447,34,0.9965999722480774
1655086283.262156,35,0.9987000226974487
1655086284.7469742,36,0.9991999864578247
1655086286.1835988,37,0.9994000196456909
1655086287.6218379,38,0.9997000098228455
1655086289.0605268,39,0.9994999766349792
1655086290.497301,40,0.9995999932289124
1655086291.9362555,41,0.9998999834060669
1655086293.3543918,42,1.0
1655086294.790938,43,1.0
1655086296.271985,44,0.9998999834060669
1655086297.684382,45,1.0
1655086299.1094637,46,1.0
1655086300.5433643,47,1.0
1655086301.981461,48,1.0
1655086303.4179742,49,1.0
1655086304.848519,50,1.0
1655086306.2744272,51,1.0
1655086307.7515526,52,1.0
1655086309.1733313,53,0.9998999834060669
1655086310.578979,54,1.0
1655086312.0055895,55,1.0
1655086313.4380257,56,1.0
1655086314.914591,57,1.0
1655086316.3523602,58,1.0
1655086317.7641387,59,1.0
1655086319.1656382,60,1.0
1655086320.5944324,61,1.0
1655086322.0508344,62,1.0
1655086323.4865537,63,1.0
1655086324.9138105,64,1.0
1655086326.349163,65,1.0
1655086327.7851794,66,1.0
1655086329.212421,67,1.0
