Wall time,Step,Value
1655100473.3509548,0,0.3555999994277954
1655100474.809771,1,0.6751999855041504
1655100476.210996,2,0.7657999992370605
1655100477.6335769,3,0.8299999833106995
1655100479.03493,4,0.8580999970436096
1655100480.4594498,5,0.8720999956130981
1655100481.86725,6,0.8901000022888184
1655100483.264726,7,0.9235000014305115
1655100484.7135954,8,0.9387000203132629
1655100486.1130154,9,0.9448999762535095
1655100487.5141625,10,0.954800009727478
1655100488.9185236,11,0.9581000208854675
1655100490.3229158,12,0.9625999927520752
1655100491.7165291,13,0.9664000272750854
1655100493.1142182,14,0.9693999886512756
1655100494.5357263,15,0.9710999727249146
1655100495.947226,16,0.9739999771118164
1655100497.3899133,17,0.9764999747276306
1655100498.801389,18,0.9779999852180481
1655100500.2121134,19,0.9801999926567078
1655100501.6156719,20,0.9819999933242798
1655100503.0199015,21,0.9815999865531921
1655100504.421417,22,0.983299970626831
1655100505.825315,23,0.9858999848365784
1655100507.2248862,24,0.9861999750137329
1655100508.6312413,25,0.9857000112533569
1655100510.0705206,26,0.9847000241279602
1655100511.4622355,27,0.9833999872207642
1655100512.876887,28,0.9833999872207642
1655100514.267946,29,0.9846000075340271
1655100515.656139,30,0.9879000186920166
1655100517.101121,31,0.9778000116348267
1655100518.5076125,32,0.9890999794006348
1655100519.9017901,33,0.9884999990463257
1655100521.2933168,34,0.9940000176429749
1655100522.6937666,35,0.9909999966621399
1655100524.1249826,36,0.9897000193595886
1655100525.5236552,37,0.9901000261306763
1655100526.9132848,38,0.9907000064849854
1655100528.302254,39,0.9937000274658203
1655100529.693895,40,0.996399998664856
1655100531.12556,41,0.9962000250816345
1655100532.5284257,42,0.9973999857902527
1655100533.9268951,43,0.9983999729156494
1655100535.327771,44,0.9987000226974487
1655100536.7272644,45,0.9973000288009644
1655100538.114974,46,0.9965000152587891
1655100539.5127048,47,0.9979000091552734
1655100540.9029627,48,0.9980000257492065
1655100542.3459053,49,0.9979000091552734
1655100543.762857,50,0.9991000294685364
1655100545.180166,51,0.9918000102043152
1655100546.5680506,52,0.9990000128746033
1655100547.9549828,53,0.9987000226974487
1655100549.38392,54,0.998199999332428
1655100550.773814,55,0.9968000054359436
1655100552.1615477,56,0.994700014591217
1655100553.552029,57,0.9966999888420105
1655100554.9851532,58,0.9984999895095825
1655100556.445986,59,0.9739999771118164
1655100557.8356972,60,0.9958999752998352
1655100559.226778,61,0.9932000041007996
1655100560.6165495,62,0.9980000257492065
1655100562.0485635,63,0.996999979019165
1655100563.480847,64,0.9984999895095825
1655100564.871611,65,0.998199999332428
1655100566.2604752,66,0.9994000196456909
1655100567.654364,67,0.9998999834060669
1655100569.0942454,68,0.9998000264167786
1655100570.4834535,69,0.9998999834060669
1655100571.8756423,70,1.0
1655100573.2751343,71,1.0
1655100574.6712387,72,0.9997000098228455
1655100576.10011,73,1.0
1655100577.4917493,74,1.0
1655100578.9144804,75,1.0
1655100580.3069468,76,1.0
1655100581.6937013,77,1.0
1655100583.0796268,78,0.9997000098228455
1655100584.466138,79,0.9994000196456909
1655100585.853478,80,0.9994000196456909
1655100587.2916005,81,0.9995999932289124
1655100588.7031596,82,0.9994000196456909
1655100590.1049082,83,0.9983999729156494
1655100591.559319,84,0.9997000098228455
1655100592.949694,85,1.0
1655100594.339472,86,0.9998999834060669
1655100595.7220352,87,1.0
1655100597.122343,88,0.9993000030517578
1655100598.5600665,89,1.0
1655100599.9499023,90,0.9998999834060669
1655100601.3359907,91,1.0
1655100602.7240133,92,0.9998999834060669
1655100604.1075332,93,1.0
1655100605.503616,94,0.9995999932289124
1655100606.8904333,95,0.9987000226974487
1655100608.276473,96,0.9993000030517578
1655100609.6673014,97,0.9995999932289124
1655100611.1040242,98,1.0
1655100612.4931152,99,1.0
1655100613.9014866,100,1.0
1655100615.3159504,101,1.0
1655100616.72985,102,0.9998999834060669
1655100618.1241317,103,1.0
1655100619.5331235,104,0.9998000264167786
1655100620.9873269,105,0.9998999834060669
1655100622.420583,106,0.9997000098228455
1655100623.8595736,107,0.9998999834060669
1655100625.2459886,108,1.0
1655100626.651297,109,0.9991000294685364
1655100628.0360796,110,0.9988999962806702
1655100629.4244032,111,0.9915000200271606
1655100630.820718,112,0.9926999807357788
1655100632.2091517,113,0.9876000285148621
1655100633.6446965,114,0.9966999888420105
1655100635.032611,115,0.9959999918937683
1655100636.4222457,116,0.9987000226974487
1655100637.8272378,117,0.9995999932289124
1655100639.2355072,118,0.9998000264167786
1655100640.6628394,119,1.0
1655100642.0476713,120,1.0
1655100643.4354014,121,1.0
1655100644.8348494,122,0.9998999834060669
1655100646.2196033,123,1.0
1655100647.6136944,124,1.0
1655100649.0015912,125,1.0
1655100650.3878055,126,1.0
1655100651.786815,127,1.0
1655100653.2094862,128,1.0
1655100654.5999613,129,1.0
1655100655.9847696,130,1.0
1655100657.3695312,131,1.0
1655100658.7616093,132,1.0
1655100660.1630714,133,1.0
1655100661.5606985,134,1.0
1655100662.9998715,135,1.0
1655100664.4027114,136,1.0
1655100665.7936606,137,1.0
1655100667.1908762,138,1.0
1655100668.5890248,139,1.0
1655100669.986971,140,1.0
1655100671.3916194,141,1.0
1655100672.7847502,142,1.0
1655100674.1841354,143,1.0
1655100675.6233377,144,1.0
1655100677.0232825,145,1.0
1655100678.4052393,146,1.0
1655100679.789652,147,1.0
1655100681.1760426,148,1.0
1655100682.5589402,149,1.0
1655100683.9576907,150,1.0
1655100685.3471913,151,1.0
1655100686.7682111,152,1.0
1655100688.1527991,153,1.0
1655100689.5607517,154,1.0
1655100690.9436953,155,1.0
1655100692.347378,156,1.0
1655100693.7513518,157,1.0
1655100695.132426,158,1.0
1655100696.5143576,159,1.0
1655100697.8964324,160,1.0
1655100699.317515,161,1.0
1655100700.7064342,162,1.0
1655100702.1053705,163,1.0
1655100703.4904695,164,1.0
1655100704.881781,165,1.0
1655100706.3210647,166,1.0
1655100707.7149444,167,1.0
1655100709.1131136,168,1.0
1655100710.5408611,169,1.0
1655100711.9395854,170,1.0
1655100713.3373845,171,1.0
1655100714.7321956,172,1.0
1655100716.116751,173,1.0
1655100717.502083,174,1.0
1655100718.933764,175,1.0
1655100720.3172405,176,1.0
1655100721.7027712,177,1.0
1655100723.0846798,178,1.0
1655100724.5125837,179,1.0
1655100725.9635124,180,1.0
1655100727.3519785,181,1.0
1655100728.7405217,182,1.0
1655100730.1246495,183,1.0
1655100731.5556984,184,1.0
1655100733.0121338,185,1.0
1655100734.4300876,186,1.0
1655100735.8436222,187,1.0
1655100737.2302926,188,1.0
